meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.314608,0.364324,0.429315,0.498091,0.571905,0.652223,0.737349,0.828249,0.920163,1.01424,1.10402,1.18881,1.26656,1.33616,1.39737,1.45092,1.49337,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0962518,0.114805,0.135825,0.157869,0.18281,0.208207,0.233048,0.257258,0.280435,0.301589,0.318561,0.330615,0.339805,0.346339,0.35025,0.351338,0.34825,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.659255,0.861631,1.11957,1.40748,1.74115,2.11269,2.51098,2.94612,3.39767,3.85142,4.28689,4.68206,5.04289,5.35559,5.60936,5.81282,5.9388,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0360962,0.0436612,0.0540793,0.0658563,0.0795338,0.0952869,0.113276,0.134127,0.15748,0.182586,0.209045,0.236135,0.262894,0.288598,0.311867,0.333521,0.352207,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.295048,0.327378,0.369972,0.410873,0.449985,0.48806,0.52232,0.555604,0.585657,0.612089,0.634175,0.652872,0.665658,0.675666,0.683092,0.686877,0.688101,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.48176,3.86033,4.32216,4.74423,5.11648,5.44909,5.72752,5.99085,6.22732,6.41979,6.58174,6.7115,6.78854,6.84731,6.88643,6.88531,6.8774,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.7854E-4,4.14621E-4,4.55023E-4,4.90233E-4,5.19521E-4,5.4449E-4,5.63484E-4,5.88829E-4,6.10446E-4,6.30164E-4,6.44346E-4,6.54763E-4,6.59067E-4,6.59678E-4,6.55329E-4,6.49363E-4,6.3798E-4,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.25881,3.64467,4.0961,4.51868,4.91135,5.2726,5.59146,5.88502,6.14411,6.36646,6.54616,6.68942,6.79377,6.87059,6.92474,6.95508,6.96392,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.10039,0.112676,0.127264,0.141139,0.154122,0.166319,0.177223,0.187411,0.196565,0.204572,0.211264,0.216905,0.221005,0.224296,0.2268,0.228283,0.229043,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.694309,0.773047,0.870255,0.965994,1.06221,1.15869,1.24903,1.33438,1.409,1.47664,1.52967,1.5716,1.60351,1.62635,1.64142,1.65256,1.6536,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Dairy,Dairy,2.51558,5.74963,6.81081,7.18609,8.14323,9.00334,10.0006,10.9339,11.8121,12.6047,13.2982,13.9156,14.4374,14.873,15.1986,15.4183,15.573,15.6732,15.7097,15.7064,15.66,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Pork,Pork,0.00237831,0.00262705,0.0012497,0.00102318,0.00114534,0.00125857,0.00137717,0.00148362,0.00157847,0.00166303,0.00173238,0.00181879,0.00188991,0.00195679,0.00200099,0.00202938,0.00204326,0.00204309,0.00202509,0.00200684,0.00196751,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.430095,0.688012,0.750486,0.92537,1.06867,1.20038,1.34555,1.48514,1.62148,1.75089,1.87077,1.97846,2.07017,2.15199,2.21334,2.25856,2.29721,2.3235,2.33935,2.35493,2.35783,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Northern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.111004,0.146252,0.168621,0.198268,0.227264,0.255959,0.288515,0.320041,0.350651,0.380245,0.40754,0.432793,0.454979,0.474874,0.490674,0.503247,0.512999,0.520239,0.525244,0.528772,0.52961,Mt,
