meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0417572,0.0545124,0.0822036,0.107431,0.141851,0.181477,0.220471,0.266019,0.30078,0.366841,0.422824,0.487391,0.532199,0.578586,0.669979,0.697644,0.74566,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.464534,0.552338,0.756265,0.9034,1.1033,1.31418,1.52008,1.76403,1.93788,2.32763,2.64982,3.04094,3.32502,3.64631,4.22219,4.43747,4.77205,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.068606,0.0806366,0.100052,0.117193,0.137423,0.158634,0.17877,0.202702,0.221652,0.250787,0.276308,0.301903,0.322415,0.342004,0.369221,0.381577,0.39581,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.360687,0.424365,0.517471,0.608766,0.71602,0.833194,0.953154,1.0846,1.20839,1.35704,1.49721,1.63641,1.76024,1.87701,2.00217,2.08026,2.15747,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0108493,0.0128309,0.0159891,0.0190688,0.0228933,0.027249,0.0319534,0.037282,0.0427749,0.0494749,0.0561215,0.0630574,0.0693557,0.0760668,0.0827371,0.0872742,0.0918443,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0876947,0.108493,0.138715,0.177373,0.227031,0.285196,0.355892,0.426936,0.514659,0.595528,0.67626,0.756585,0.824319,0.907127,0.964499,1.02632,1.08688,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,3.13343,3.51882,4.06703,4.73922,5.6038,6.54901,7.77962,8.97759,10.5062,11.9655,13.406,14.914,16.249,18.0017,19.1153,20.4966,21.8011,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.161639,0.179576,0.202076,0.229946,0.26233,0.295022,0.333953,0.372935,0.418668,0.460105,0.500396,0.537953,0.571204,0.611251,0.634123,0.666274,0.692782,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.502587,0.583833,0.678018,0.796004,0.927655,1.07231,1.23741,1.40133,1.60305,1.76673,1.94368,2.10769,2.27327,2.45129,2.54244,2.6778,2.78353,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0250357,0.0294578,0.0354101,0.0423438,0.0505647,0.0600048,0.070943,0.0824854,0.097057,0.110512,0.125329,0.140057,0.154753,0.171794,0.182501,0.195013,0.205732,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.458543,0.505995,0.568336,0.637263,0.71125,0.782753,0.855489,0.928291,0.978333,1.03952,1.07872,1.11504,1.134,1.14096,1.16996,1.18047,1.19614,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,7.16389,7.1753,7.2895,7.45614,7.69705,7.8899,8.21864,8.58642,8.7948,9.20468,9.43176,9.70324,9.87748,10.0172,10.264,10.4475,10.6464,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.610368,0.698939,0.809848,0.927934,1.0547,1.18733,1.32819,1.47602,1.62874,1.77822,1.92061,2.05579,2.18012,2.29726,2.3875,2.47589,2.55042,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.0315307,0.0336614,0.0365382,0.0392967,0.0432166,0.0482325,0.0545759,0.0589827,0.0645876,0.0697716,0.075132,0.0797403,0.0840911,0.0893758,0.0930366,0.0951248,0.0972944,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,Scavenging_Other,Dairy,Dairy,0.189169,0.35511,0.462481,0.532775,0.536251,0.502955,0.482619,0.466647,0.476696,0.497425,0.537008,0.561444,0.599927,0.639434,0.680192,0.717371,0.754146,0.80385,0.834757,0.856713,0.875076,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0219065,0.0431595,0.0601008,0.0629144,0.0748503,0.0900971,0.110295,0.133629,0.160568,0.192388,0.227395,0.264627,0.312259,0.355074,0.404857,0.45289,0.503367,0.560241,0.595728,0.634245,0.66565,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.789637,1.1224,1.23967,1.49336,1.68716,1.8982,2.14363,2.39271,2.62924,2.83097,3.00478,3.16678,3.22187,3.28784,3.28321,3.25472,3.20326,3.08708,3.04398,2.98735,2.93232,Mt,
"Reference,date=2024-14-2T14:22:43-08:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,Dairy,Dairy,6.1079,10.6697,10.8832,9.74697,11.8149,14.305,17.0453,19.8934,22.6651,25.3563,27.7343,30.0685,31.9452,33.6182,34.9227,35.8791,36.703,36.9151,37.3048,37.4417,37.3908,Mt,
