meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.314147,0.364466,0.429309,0.497004,0.571065,0.651433,0.736262,0.827361,0.917832,1.01351,1.10091,1.1872,1.26372,1.33172,1.39536,1.44898,1.4862,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0943451,0.11519,0.136067,0.157734,0.182364,0.207621,0.233491,0.255505,0.278177,0.299004,0.311645,0.326528,0.334222,0.342163,0.343328,0.345645,0.347106,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.656733,0.860219,1.11799,1.39335,1.72729,2.08307,2.48677,2.90716,3.34148,3.81025,4.20005,4.61295,4.97034,5.22217,5.48131,5.6882,5.76342,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0360123,0.0436128,0.0539908,0.0654714,0.0791652,0.0945053,0.112497,0.133199,0.155178,0.181858,0.206049,0.233828,0.259212,0.281462,0.306887,0.328571,0.339396,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.29455,0.325982,0.367133,0.409574,0.448851,0.487191,0.520192,0.554912,0.582402,0.606901,0.633162,0.650673,0.662619,0.671922,0.677783,0.686405,0.68388,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.46725,3.83841,4.27597,4.72793,5.11987,5.4347,5.73305,6.00386,6.20541,6.37922,6.60003,6.7105,6.78564,6.87518,6.89059,6.95251,6.91941,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.78064E-4,4.1144E-4,4.48359E-4,4.88917E-4,5.16304E-4,5.42597E-4,5.58692E-4,5.86914E-4,6.01157E-4,6.22133E-4,6.43933E-4,6.58054E-4,6.60818E-4,6.53911E-4,6.53546E-4,6.51961E-4,6.34459E-4,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.25142,3.63294,4.0779,4.50694,4.90983,5.26577,5.58234,5.88771,6.13267,6.33923,6.54312,6.69086,6.79211,6.87181,6.91175,6.9643,6.96209,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.100189,0.112328,0.126568,0.140826,0.154135,0.166311,0.177206,0.187789,0.19631,0.204022,0.21178,0.217128,0.221115,0.22426,0.226974,0.229197,0.229748,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.697448,0.774547,0.872531,0.96997,1.06352,1.16558,1.24982,1.33685,1.40688,1.48113,1.53282,1.57502,1.60474,1.61958,1.64057,1.64901,1.64628,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Dairy,Dairy,2.51558,5.74963,6.81081,7.18609,8.15916,9.02631,10.0268,11.0489,11.9376,12.7669,13.4572,14.0882,14.513,15.1045,15.4315,15.6618,15.7769,15.9399,16.061,16.0792,16.0613,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Pork,Pork,0.00237831,0.00262705,0.0012497,0.00102318,0.00114987,0.00125605,0.00136974,0.00149002,0.00157359,0.00166843,0.00172481,0.0018181,0.00186779,0.00195101,0.00200595,0.00205129,0.00206157,0.00202823,0.00203508,0.00201377,0.0019629,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.430095,0.688012,0.750486,0.92537,1.07408,1.20383,1.35375,1.49403,1.62836,1.76436,1.8784,1.98852,2.07585,2.17128,2.22316,2.27553,2.31289,2.33104,2.35862,2.35893,2.36599,Mt,
