Labor inputs by ag tech
scenario,region,subsector,technology,input,sector,1990,2005,2015,2020,2035,2050,2065,2080,2095,Units,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_RiftValley,CornC4_RiftValley_IRR_hi,Labor_Ag,Corn,0.0,0.0,0.0465232,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_RiftValley,CornC4_RiftValley_IRR_lo,Labor_Ag,Corn,0.0,0.0,0.034622,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_RiftValley,CornC4_RiftValley_RFD_hi,Labor_Ag,Corn,0.0,0.0,0.61821,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_RiftValley,CornC4_RiftValley_RFD_lo,Labor_Ag,Corn,0.0,0.0,0.435558,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_ShebJubR,CornC4_ShebJubR_IRR_hi,Labor_Ag,Corn,0.0,0.0,0.0694509,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_ShebJubR,CornC4_ShebJubR_IRR_lo,Labor_Ag,Corn,0.0,0.0,0.0516845,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_ShebJubR,CornC4_ShebJubR_RFD_hi,Labor_Ag,Corn,0.0,0.0,0.160226,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,CornC4_ShebJubR,CornC4_ShebJubR_RFD_lo,Labor_Ag,Corn,0.0,0.0,0.112886,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,0.00129166,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,9.61182E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,0.0103006,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,0.00725724,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,6.60554E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,4.91627E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,1.33229E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,9.38163E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrIntN,FiberCrop_AfrIntN_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,8.60284E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_AfrIntN,FiberCrop_AfrIntN_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,6.09553E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_CongoR,FiberCrop_CongoR_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,6.11715E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_CongoR,FiberCrop_CongoR_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,4.30877E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_LChad,FiberCrop_LChad_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,0.00668937,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_LChad,FiberCrop_LChad_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,0.00497814,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_LChad,FiberCrop_LChad_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,0.00297072,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_LChad,FiberCrop_LChad_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,0.002093,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_Madagascar,FiberCrop_Madagascar_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,0.0152582,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_Madagascar,FiberCrop_Madagascar_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,0.0113549,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_Madagascar,FiberCrop_Madagascar_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,0.0194784,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_Madagascar,FiberCrop_Madagascar_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,0.0137233,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_NileR,FiberCrop_NileR_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,0.206893,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_NileR,FiberCrop_NileR_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,0.153967,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_NileR,FiberCrop_NileR_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,0.112013,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_NileR,FiberCrop_NileR_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,0.0789181,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_RiftValley,FiberCrop_RiftValley_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,0.0113388,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_RiftValley,FiberCrop_RiftValley_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,0.00843811,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_RiftValley,FiberCrop_RiftValley_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,0.00893661,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_RiftValley,FiberCrop_RiftValley_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,0.0062963,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_ShebJubR,FiberCrop_ShebJubR_IRR_hi,Labor_Ag,FiberCrop,0.0,0.0,0.00586427,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_ShebJubR,FiberCrop_ShebJubR_IRR_lo,Labor_Ag,FiberCrop,0.0,0.0,0.00436416,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_ShebJubR,FiberCrop_ShebJubR_RFD_hi,Labor_Ag,FiberCrop,0.0,0.0,0.00553752,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FiberCrop_ShebJubR,FiberCrop_ShebJubR_RFD_lo,Labor_Ag,FiberCrop,0.0,0.0,0.00390139,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_AfrCstNE,FodderGrass_AfrCstNE_IRR_hi,Labor_Ag,FodderGrass,0.0,0.0,2.20959E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
