meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.315116,0.366159,0.429706,0.49938,0.574567,0.65417,0.738759,0.828276,0.923622,1.01349,1.1008,1.18741,1.26763,1.34067,1.39647,1.45131,1.49783,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0943265,0.113795,0.136621,0.155281,0.179324,0.206457,0.233583,0.255022,0.278434,0.29416,0.310575,0.322987,0.334268,0.341522,0.344378,0.344893,0.342076,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.661135,0.868284,1.12082,1.40763,1.73636,2.12208,2.50477,2.89913,3.36378,3.73398,4.15464,4.50917,4.88993,5.21981,5.43676,5.59751,5.67343,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0361415,0.0439585,0.0542101,0.0658241,0.0795565,0.0959635,0.113721,0.132906,0.157302,0.179341,0.205068,0.229428,0.255411,0.283592,0.30237,0.321485,0.336523,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.294332,0.327402,0.370568,0.41004,0.451597,0.484813,0.518713,0.551494,0.583633,0.609184,0.626758,0.646005,0.657708,0.669769,0.673092,0.673694,0.677738,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.47852,3.87345,4.32991,4.73674,5.14978,5.40999,5.70095,5.95621,6.22965,6.44138,6.54234,6.6894,6.75159,6.85339,6.85058,6.82939,6.86455,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.81109E-4,4.17746E-4,4.51864E-4,4.95855E-4,5.26509E-4,5.40857E-4,5.53254E-4,5.81322E-4,6.08709E-4,6.2467E-4,6.34545E-4,6.49088E-4,6.53246E-4,6.50227E-4,6.52677E-4,6.44971E-4,6.34823E-4,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.25802,3.65457,4.09602,4.52092,4.9233,5.26236,5.57909,5.87582,6.14868,6.36802,6.52151,6.67882,6.78647,6.86013,6.9014,6.92057,6.94993,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.100422,0.113026,0.127381,0.141138,0.154861,0.165864,0.176941,0.187171,0.19707,0.205181,0.210703,0.216991,0.220844,0.224448,0.226254,0.22725,0.229002,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.696224,0.773266,0.871378,0.96959,1.06638,1.15791,1.24587,1.33395,1.4113,1.47529,1.52828,1.57378,1.60393,1.62284,1.64275,1.65548,1.65419,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Dairy,Dairy,2.51558,5.74963,6.81081,7.18609,8.20933,9.05024,10.0535,11.0011,11.9272,12.6324,13.3862,14.0393,14.6551,15.1677,15.4907,15.8065,15.908,16.0376,16.16,16.287,16.2771,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Pork,Pork,0.00237831,0.00262705,0.0012497,0.00102318,0.00115832,0.00126766,0.00136728,0.00150832,0.00159913,0.00166075,0.00170635,0.001805,0.00189181,0.00194367,0.00198773,0.00203262,0.00204674,0.00202287,0.00204487,0.00203142,0.0019839,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.430095,0.688012,0.750486,0.92537,1.07452,1.20361,1.34509,1.49522,1.62621,1.75938,1.87678,1.99113,2.08567,2.1652,2.23486,2.28982,2.3295,2.34063,2.37639,2.4052,2.40096,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.111004,0.146252,0.168621,0.198268,0.227937,0.256655,0.288503,0.321147,0.352052,0.380438,0.407247,0.433307,0.456425,0.475569,0.490902,0.505258,0.514881,0.520424,0.527072,0.530785,0.531483,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,Pasture_FodderGrass,Beef,Beef,0.220279,0.349131,0.434779,0.511619,0.570479,0.627201,0.694263,0.762328,0.824846,0.894031,0.94494,1.00277,1.05179,1.08763,1.1195,1.14905,1.1639,1.17452,1.18127,1.18599,1.1906,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,Pasture_FodderGrass,Dairy,Dairy,0.929028,1.49661,1.80277,1.93533,2.11347,2.27106,2.43253,2.58363,2.71173,2.85426,2.92115,3.00686,3.08657,3.12981,3.15595,3.2,3.181,3.19262,3.17862,3.18389,3.21117,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.194726,0.256092,0.300311,0.359374,0.409402,0.459159,0.51224,0.567087,0.617279,0.666736,0.70815,0.750681,0.787789,0.816864,0.840886,0.864204,0.878317,0.886571,0.895297,0.899905,0.902749,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,Scavenging_Other,Beef,Beef,0.0314865,0.0501462,0.0626591,0.074055,0.0838978,0.0934843,0.104863,0.116472,0.126981,0.138096,0.147483,0.157722,0.166088,0.172456,0.178542,0.183035,0.186556,0.187127,0.189033,0.188425,0.186165,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,Scavenging_Other,Dairy,Dairy,0.234126,0.50143,0.60461,0.650428,0.724251,0.781295,0.850682,0.899406,0.941108,0.978496,1.00468,1.03043,1.05284,1.06238,1.07156,1.07439,1.06685,1.05075,1.04839,1.02896,1.00143,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0389741,0.0511841,0.0600255,0.071895,0.0824637,0.0930524,0.104453,0.116295,0.127104,0.137592,0.146894,0.156377,0.164526,0.171003,0.176574,0.181455,0.184994,0.186249,0.188494,0.188867,0.188115,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.0247934,0.039684,0.0408128,0.0416602,0.0461194,0.0505896,0.055631,0.0608733,0.0654434,0.0710167,0.0745404,0.0789205,0.0825392,0.0849834,0.0873261,0.0895402,0.0905322,0.0911909,0.0915198,0.0917073,0.0921539,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Dairy,Dairy,0.180564,0.364125,0.389708,0.372593,0.378283,0.38362,0.380861,0.380484,0.37787,0.387779,0.377303,0.373322,0.369388,0.363984,0.357876,0.358875,0.35039,0.354461,0.346329,0.34944,0.365157,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.037702,0.0506165,0.0499579,0.0513519,0.058446,0.0655711,0.073059,0.0809019,0.0879475,0.0951329,0.10092,0.107023,0.112287,0.116337,0.119794,0.123107,0.125122,0.126175,0.127411,0.127984,0.128308,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Pastoral,Scavenging_Other,Beef,Beef,0.0012995,0.0020816,0.002156,0.002168,0.00243658,0.00270732,0.00301518,0.00333639,0.00361343,0.00393478,0.00417157,0.00445024,0.00467305,0.00483124,0.00499268,0.00511457,0.00520263,0.00521127,0.00525263,0.00522829,0.00517555,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Pastoral,Scavenging_Other,Dairy,Dairy,0.0094913,0.0191503,0.0205567,0.0195713,0.0185811,0.0163475,0.0144473,0.0121397,0.0106062,0.00961704,0.00874385,0.00787237,0.00712225,0.00663967,0.00625882,0.005938,0.00564895,0.00552595,0.00530677,0.0051608,0.00514056,Mt,
