"","GCM","variable","decade","layer","mean","median","min","max"
"69","GFDL","hurs","7","9","79.12","79.83","15.42","98.38"
"70","GFDL","hurs","7","10","79.45","80.13","16.7","98.42"
"71","GFDL","hurs","8","1","79.16","79.88","13.61","98.24"
"72","GFDL","hurs","8","2","79.06","79.82","13.33","98.38"
"73","GFDL","hurs","8","3","79.26","79.87","18.76","98.22"
"74","GFDL","hurs","8","4","79.22","79.99","12.77","98.4"
"75","GFDL","hurs","8","5","79.14","80.1","14.16","98.12"
"76","GFDL","hurs","8","6","79.15","79.98","15.8","98.25"
"77","GFDL","hurs","8","7","79.3","80.28","13.83","98.46"
"78","GFDL","hurs","8","8","79.21","79.98","13.07","98.22"
"79","GFDL","hurs","8","9","79.24","79.86","20.4","98.15"
"80","GFDL","hurs","8","10","79.28","80.43","14.61","98.29"
"81","GFDL","hurs","9","1","79.12","79.95","15.37","98.33"
"82","GFDL","hurs","9","2","79.15","79.9","17.79","98.41"
"83","GFDL","hurs","9","3","79.11","80.13","15.27","98.14"
"84","GFDL","hurs","9","4","79.15","79.97","16.79","98.12"
"85","GFDL","hurs","9","5","79.24","80.05","15.87","98.18"
"86","GFDL","hurs","9","6","79.05","79.92","16.72","98.26"
"87","GFDL","hurs","9","7","79.13","79.91","16.8","98.32"
"88","GFDL","hurs","9","8","79.17","80.04","13.92","98.3"
"89","GFDL","hurs","9","9","79.07","79.94","15.69","98.47"
"90","GFDL","ps","1","1","96604.3","100785.77","50847.32","102572.59"
"91","GFDL","ps","1","2","96587.13","100716.3","50791.37","102744.81"
"92","GFDL","ps","1","3","96538.04","100846.44","50787.15","102689.08"
"93","GFDL","ps","1","4","96559.68","100758.85","50770.84","102654.91"
"94","GFDL","ps","1","5","96558.68","100744.33","50868.99","102609.98"
"95","GFDL","ps","1","6","96563.91","100782.62","50842.41","102650.72"
"96","GFDL","ps","1","7","96558.46","100748.03","50846.27","102660.73"
"97","GFDL","ps","1","8","96614.67","100784.08","50757.33","102608.42"
"98","GFDL","ps","1","9","96592.11","100779.65","50828.2","102519.27"
"99","GFDL","ps","1","10","96583.3","100747.67","50752.88","102668.54"
"100","GFDL","ps","2","1","96556.87","100734.47","50888.33","102641.88"
"101","GFDL","ps","2","2","96554.99","100746.23","50843.68","102642.25"
"102","GFDL","ps","2","3","96569.22","100760.62","50877.41","102673.59"
"103","GFDL","ps","2","4","96621.7","100724.76","50767.02","102656.87"
"104","GFDL","ps","2","5","96542.36","100743.36","50938.35","102640.73"
"105","GFDL","ps","2","6","96531.26","100791.13","50939.37","102658.33"
"106","GFDL","ps","2","7","96582.1","100682.47","50943.73","102608.67"
"107","GFDL","ps","2","8","96563.77","100705.47","50964.98","102624.8"
"108","GFDL","ps","2","9","96501.13","100650.23","50870.78","102712.36"
"109","GFDL","ps","2","10","96590.12","100819.14","50921.89","102675.38"
"110","GFDL","ps","3","1","96606.65","100810.43","50948.2","102537.25"
"111","GFDL","ps","3","2","96545.15","100741.64","50889.07","102525.97"
"112","GFDL","ps","3","3","96520.36","100708.52","51001.72","102737.88"
"113","GFDL","ps","3","4","96548.81","100729.17","50955.79","102614.8"
"114","GFDL","ps","3","5","96551.36","100785.11","50931.96","102599.96"
"115","GFDL","ps","3","6","96551.07","100787.07","50947.31","102805.88"
"116","GFDL","ps","3","7","96526.73","100763.12","50969.61","102678.03"
"117","GFDL","ps","3","8","96544.25","100628.45","50992.32","102630.02"
"118","GFDL","ps","3","9","96567.64","100808.54","51061.85","102646.49"
"119","GFDL","ps","3","10","96551.62","100824.07","50880.32","102722.2"
"120","GFDL","ps","4","1","96553.78","100793.47","50988.21","102708.57"
"121","GFDL","ps","4","2","96572.5","100753.46","51015.68","102684.14"
"122","GFDL","ps","4","3","96522.35","100736.01","50970.38","102765.28"
"123","GFDL","ps","4","4","96513.1","100726.32","50963.98","102667.18"
"124","GFDL","ps","4","5","96498.22","100753.97","50910.06","102754.81"
"125","GFDL","ps","4","6","96540.35","100862.38","51033.64","102617.04"
"126","GFDL","ps","4","7","96611.66","100797.25","50996.06","102580.9"
"127","GFDL","ps","4","8","96558","100790.34","50933.19","102582.52"
"128","GFDL","ps","4","9","96522.7","100754.09","50963.85","102709.15"
"129","GFDL","ps","4","10","96559.49","100835.47","50932.79","102515.11"
"130","GFDL","ps","5","1","96551.08","100783.41","50945.81","102648.2"
"131","GFDL","ps","5","2","96557.54","100809.29","50966.59","102705.95"
"132","GFDL","ps","5","3","96518.77","100798.79","51020.98","102794.2"
"133","GFDL","ps","5","4","96538.66","100813.85","50989.2","102837.73"
"134","GFDL","ps","5","5","96569.36","100797.12","51039.82","102595.82"
"135","GFDL","ps","5","6","96570.9","100787.46","50938.82","102654.96"
"136","GFDL","ps","5","7","96572.86","100770.8","50950.1","102593.86"
"137","GFDL","ps","5","8","96547.79","100690.67","50979.37","102599.7"
"138","GFDL","ps","5","9","96591.77","100730.14","50935.6","102721.11"
"139","GFDL","ps","5","10","96556.17","100759.46","50968.75","102681.8"
"140","GFDL","ps","6","1","96548.84","100729.48","51043.26","102549.95"
"141","GFDL","ps","6","2","96603.8","100811.41","51081.98","102594.88"
"142","GFDL","ps","6","3","96583.29","100644.11","50991.81","102593.17"
"143","GFDL","ps","6","4","96579.26","100815.74","50990.42","102651.05"
"144","GFDL","ps","6","5","96595.69","100763.97","51024.59","102638.11"
"145","GFDL","ps","6","6","96592","100717.44","50945.62","102599.12"
"146","GFDL","ps","6","7","96607.68","100767.57","51008.11","102648.96"
"147","GFDL","ps","6","8","96535.61","100720.23","51064.49","102717.2"
"148","GFDL","ps","6","9","96524.01","100694.05","51124.05","102741.58"
"149","GFDL","ps","6","10","96569.58","100794.68","51019.19","102680.41"
"150","GFDL","ps","7","1","96565.05","100680.12","51042.09","102626.77"
"151","GFDL","ps","7","2","96580.81","100742.54","51035.61","102673"
"152","GFDL","ps","7","3","96542.73","100751.71","51083.8","102684.56"
"153","GFDL","ps","7","4","96524.17","100708.78","50941.5","102733.47"
"154","GFDL","ps","7","5","96532.7","100779.7","51067.94","102661.05"
"155","GFDL","ps","7","6","96562.49","100761.86","51030.07","102783.34"
"156","GFDL","ps","7","7","96566.95","100796.29","51050.21","102628.89"
"157","GFDL","ps","7","8","96526.22","100705.66","51162.49","102708.16"
"158","GFDL","ps","7","9","96545.65","100709.71","51051.29","102722.32"
"159","GFDL","ps","7","10","96539.19","100744.74","51067.26","102691.66"
"160","GFDL","ps","8","1","96514.77","100770.61","51110.84","102811.34"
"161","GFDL","ps","8","2","96518.29","100719.11","51020.48","102681.59"
"162","GFDL","ps","8","3","96513.39","100750.22","51095.16","102639.45"
"163","GFDL","ps","8","4","96565.75","100814.26","51138.45","102660.17"
"164","GFDL","ps","8","5","96542.18","100736.63","51063.68","102615.04"
"165","GFDL","ps","8","6","96568.24","100771.59","51115.11","102542.62"
"166","GFDL","ps","8","7","96580.24","100810.93","51058.64","102611.79"
"167","GFDL","ps","8","8","96559.21","100693.68","51097.83","102676.19"
"168","GFDL","ps","8","9","96568.99","100707.31","51059.73","102677.74"
"169","GFDL","ps","8","10","96587.48","100718.96","51156.57","102617.97"
"170","GFDL","ps","9","1","96526.97","100722.08","51081.86","102728.86"
"171","GFDL","ps","9","2","96508.97","100783.33","51233.32","102554.52"
"172","GFDL","ps","9","3","96530.16","100685.25","51081.84","102614.59"
"173","GFDL","ps","9","4","96599.59","100816.77","51161.15","102562.55"
"174","GFDL","ps","9","5","96537.12","100756.92","51071.29","102733.14"
"175","GFDL","ps","9","6","96543.49","100722.91","51181.18","102722.12"
