"","GCM","variable","decade","layer","mean","median","min","max"
"399","HadGEM2","hurs","5","3","78.66","79.32","12.15","98.42"
"400","HadGEM2","hurs","5","4","78.59","79.22","10.69","98.46"
"401","HadGEM2","hurs","5","5","78.56","79.41","12.8","98.25"
"402","HadGEM2","hurs","5","6","78.43","79.3","13.83","98.23"
"403","HadGEM2","hurs","5","7","78.51","79.36","13.39","98.37"
"404","HadGEM2","hurs","5","8","78.61","79.4","10.69","98.38"
"405","HadGEM2","hurs","5","9","78.61","79.46","12.61","98.62"
"406","HadGEM2","hurs","5","10","78.28","79.37","11.57","98.36"
"407","HadGEM2","hurs","6","1","78.51","79.36","10.05","98.28"
"408","HadGEM2","hurs","6","2","78.5","79.3","9.38","98.43"
"409","HadGEM2","hurs","6","3","78.41","79.29","10.32","97.96"
"410","HadGEM2","hurs","6","4","78.43","79.36","11.18","98.19"
"411","HadGEM2","hurs","6","5","78.29","79.49","11.49","98.08"
"412","HadGEM2","hurs","6","6","78.28","79.4","10.53","98.45"
"413","HadGEM2","hurs","6","7","78.16","79.1","10.34","98.36"
"414","HadGEM2","hurs","6","8","78.24","79.24","9.63","98.49"
"415","HadGEM2","hurs","6","9","78.23","79.23","13.54","98.19"
"416","HadGEM2","hurs","6","10","78.47","79.48","10.89","98.1"
"417","HadGEM2","hurs","7","1","78.41","79.51","12.21","98.33"
"418","HadGEM2","hurs","7","2","78.4","79.47","12.38","98.34"
"419","HadGEM2","hurs","7","3","78.36","79.26","10.85","98.17"
"420","HadGEM2","hurs","7","4","78.3","79.22","10.96","98.25"
"421","HadGEM2","hurs","7","5","78.21","79.31","10.23","98.19"
"422","HadGEM2","hurs","7","6","78.27","79.06","11.41","98.34"
"423","HadGEM2","hurs","7","7","78.5","79.42","13.02","98.47"
"424","HadGEM2","hurs","7","8","78.29","79.37","11.33","98.16"
"425","HadGEM2","hurs","7","9","78.2","79.25","9.12","98.36"
"426","HadGEM2","hurs","7","10","78.26","79.38","12.27","98.54"
"427","HadGEM2","hurs","8","1","78.18","79.31","10.02","98.11"
"428","HadGEM2","hurs","8","2","78.29","79.44","14.56","98.26"
"429","HadGEM2","hurs","8","3","78.15","79.42","10.7","98.36"
"430","HadGEM2","hurs","8","4","78.19","79.35","9.79","98.46"
"431","HadGEM2","hurs","8","5","78.19","79.38","11.16","98.36"
"432","HadGEM2","hurs","8","6","78.23","79.26","7.41","98.64"
"433","HadGEM2","hurs","8","7","78.25","79.41","11.34","98.11"
"434","HadGEM2","hurs","8","8","78.21","79.2","10.66","98.19"
"435","HadGEM2","hurs","8","9","78.18","79.38","10.49","98.42"
"436","HadGEM2","hurs","8","10","78.12","79.28","12.04","98.19"
"437","HadGEM2","hurs","9","1","78.24","79.37","13.61","98.2"
"438","HadGEM2","hurs","9","2","78.34","79.43","9.85","98.4"
"439","HadGEM2","hurs","9","3","78.18","79.32","9.98","98.19"
"440","HadGEM2","hurs","9","4","78.14","79.48","10.49","98.21"
"441","HadGEM2","hurs","9","5","78.22","79.4","10.05","98.18"
"442","HadGEM2","hurs","9","6","78.27","79.4","8.77","98.25"
"443","HadGEM2","hurs","9","7","78.17","79.21","7.57","98.31"
"444","HadGEM2","hurs","9","8","78.05","79.21","10.23","98.15"
"445","HadGEM2","hurs","9","9","78.14","79.35","11.72","98.01"
"446","HadGEM2","ps","1","1","96572.74","100790.8","50925.21","102503.65"
"447","HadGEM2","ps","1","2","96532.15","100766.54","50798.27","102621.39"
"448","HadGEM2","ps","1","3","96539.51","100807.16","50841.14","102711.16"
"449","HadGEM2","ps","1","4","96536.99","100779.03","50934.01","102572.67"
"450","HadGEM2","ps","1","5","96591.9","100743.9","50875","102631.84"
"451","HadGEM2","ps","1","6","96555.96","100761.8","51020.46","102637.55"
"452","HadGEM2","ps","1","7","96583.01","100736.71","50825.45","102484.71"
"453","HadGEM2","ps","1","8","96613.26","100747.65","50879.91","102548.94"
"454","HadGEM2","ps","1","9","96559.78","100684.73","51087.2","102660.85"
"455","HadGEM2","ps","1","10","96580.29","100739.62","50880.57","102560.91"
"456","HadGEM2","ps","2","1","96574.33","100780.16","50938.34","102537.43"
"457","HadGEM2","ps","2","2","96565.75","100770.15","50957.33","102679.1"
"458","HadGEM2","ps","2","3","96559.39","100733.11","50826.68","102713.68"
"459","HadGEM2","ps","2","4","96518.84","100678.99","50829.32","102728.05"
"460","HadGEM2","ps","2","5","96596.69","100804.9","50917.26","102681.07"
"461","HadGEM2","ps","2","6","96537.37","100755.06","50898.81","102599.86"
"462","HadGEM2","ps","2","7","96575.23","100768.63","50984.73","102604.84"
"463","HadGEM2","ps","2","8","96572.46","100748.39","51021.12","102620.92"
"464","HadGEM2","ps","2","9","96577.05","100754.26","50838.58","102685.13"
"465","HadGEM2","ps","2","10","96569.58","100775.51","50927.5","102501.01"
"466","HadGEM2","ps","3","1","96598.3","100828.01","51012.11","102484.87"
"467","HadGEM2","ps","3","2","96515.59","100641.09","51179.8","102585.41"
"468","HadGEM2","ps","3","3","96562.03","100741.06","50999.73","102575.7"
"469","HadGEM2","ps","3","4","96561.35","100782.85","51087.16","102493.65"
"470","HadGEM2","ps","3","5","96589.89","100730.71","50983.47","102643.09"
"471","HadGEM2","ps","3","6","96568.69","100787.48","51039.87","102612.41"
"472","HadGEM2","ps","3","7","96556.48","100635.62","51226.4","102602.54"
"473","HadGEM2","ps","3","8","96563.29","100823.73","51240.59","102572.79"
"474","HadGEM2","ps","3","9","96611.32","100853.2","51026.49","102527.43"
"475","HadGEM2","ps","3","10","96583.73","100814.28","51088.37","102559.07"
"476","HadGEM2","ps","4","1","96531.53","100739.06","51102.32","102671.78"
"477","HadGEM2","ps","4","2","96591.96","100838.02","51052.57","102631.32"
"478","HadGEM2","ps","4","3","96571.55","100757.54","51108.6","102792.98"
"479","HadGEM2","ps","4","4","96576.21","100736.22","51250.36","102705.78"
"480","HadGEM2","ps","4","5","96577.77","100702.54","51046.39","102644.57"
"481","HadGEM2","ps","4","6","96599.37","100838.02","50979.66","102606.49"
"482","HadGEM2","ps","4","7","96590.22","100742.06","51221.51","102488.16"
"483","HadGEM2","ps","4","8","96604.4","100784.57","51150.16","102493.56"
"484","HadGEM2","ps","4","9","96553.12","100776.93","51232.05","102649.8"
"485","HadGEM2","ps","4","10","96584.32","100728.61","51205.12","102491.53"
"486","HadGEM2","ps","5","1","96594.1","100847.32","51288.41","102474.85"
"487","HadGEM2","ps","5","2","96555.59","100735.96","51194.56","102504.07"
"488","HadGEM2","ps","5","3","96561.79","100840.94","51085.29","102566.59"
"489","HadGEM2","ps","5","4","96605.29","100807.76","51260.5","102543.05"
"490","HadGEM2","ps","5","5","96584.99","100675","51161.48","102548.8"
"491","HadGEM2","ps","5","6","96578.95","100748.55","51087.48","102515.64"
"492","HadGEM2","ps","5","7","96606.94","100809.89","51168.91","102676.48"
"493","HadGEM2","ps","5","8","96575.33","100730.91","51213.3","102602.6"
"494","HadGEM2","ps","5","9","96546.35","100709.42","51201.96","102640.17"
"495","HadGEM2","ps","5","10","96571.74","100678.52","51244.75","102683.84"
"496","HadGEM2","ps","6","1","96597.33","100827.52","51193.89","102535.5"
"497","HadGEM2","ps","6","2","96525.53","100844.75","51262.52","102555.92"
"498","HadGEM2","ps","6","3","96513.91","100694.99","51215.59","102632.9"
"499","HadGEM2","ps","6","4","96573.44","100731.16","51298.12","102610.8"
"500","HadGEM2","ps","6","5","96562.83","100740.17","51354.09","102696.23"
"501","HadGEM2","ps","6","6","96579.52","100741.21","51223.98","102650.69"
"502","HadGEM2","ps","6","7","96578.67","100813.58","51170.41","102598.31"
"503","HadGEM2","ps","6","8","96529.67","100660.88","51188.75","102711.07"
"504","HadGEM2","ps","6","9","96594.47","100755.63","51219.65","102551.97"
"505","HadGEM2","ps","6","10","96584.97","100757.77","51212.29","102624.14"
"506","HadGEM2","ps","7","1","96563.13","100751.1","51290.75","102613.91"
"507","HadGEM2","ps","7","2","96607.92","100740.27","51424.84","102455.06"
"508","HadGEM2","ps","7","3","96597.91","100780.72","51455.32","102595.47"
"509","HadGEM2","ps","7","4","96612.6","100789.32","51566.9","102655.88"
"510","HadGEM2","ps","7","5","96584.88","100876.73","51552.98","102529.48"
"511","HadGEM2","ps","7","6","96567.43","100737.26","51398.47","102515.22"
"512","HadGEM2","ps","7","7","96579.69","100763.9","51562.82","102647.03"
"513","HadGEM2","ps","7","8","96570.98","100756.88","51469.55","102656.94"
"514","HadGEM2","ps","7","9","96563.05","100795.76","51505.07","102643.74"
"515","HadGEM2","ps","7","10","96593.09","100763.32","51426.01","102462.48"
"516","HadGEM2","ps","8","1","96561.42","100738.64","51438.55","102550.86"
"517","HadGEM2","ps","8","2","96608.23","100748.52","51600.48","102589"
"518","HadGEM2","ps","8","3","96570.2","100714.49","51488.66","102720.24"
"519","HadGEM2","ps","8","4","96578.76","100878.3","51599.89","102609.59"
"520","HadGEM2","ps","8","5","96559.3","100841.79","51453.89","102511.54"
"521","HadGEM2","ps","8","6","96571.43","100758.66","51465.35","102571.03"
"522","HadGEM2","ps","8","7","96557.43","100761.41","51492.18","102698.28"
"523","HadGEM2","ps","8","8","96566.02","100821.54","51455.38","102644.84"
"524","HadGEM2","ps","8","9","96597.85","100784.66","51472.76","102541.23"
"525","HadGEM2","ps","8","10","96537.28","100681.46","51557.88","102705.29"
"526","HadGEM2","ps","9","1","96575.82","100765.13","51335.73","102645.81"
"527","HadGEM2","ps","9","2","96575.06","100746.46","51618.71","102591.2"
"528","HadGEM2","ps","9","3","96621.23","100723.79","51508.83","102533.26"
"529","HadGEM2","ps","9","4","96601.75","100829.61","51535.97","102462.16"
"530","HadGEM2","ps","9","5","96629.44","100879.02","51648.48","102533.1"
"531","HadGEM2","ps","9","6","96612.84","100820.2","51625.09","102492.12"
"532","HadGEM2","ps","9","7","96570.98","100754.8","51644.45","102721.23"
"533","HadGEM2","ps","9","8","96587.08","100690.9","51521.31","102467.01"
"534","HadGEM2","ps","9","9","96603.39","100848.56","51473.31","102767.53"
"535","HadGEM2","tas","1","1","279.15","282.76","221.88","304.75"
"536","HadGEM2","tas","1","2","279.18","282.8","221.72","304.83"
"537","HadGEM2","tas","1","3","279.21","282.93","220.57","305.32"
"538","HadGEM2","tas","1","4","279.21","282.92","221.88","305.62"
"539","HadGEM2","tas","1","5","279.35","282.81","224.1","305.52"
"540","HadGEM2","tas","1","6","279.38","282.66","222.9","305.17"
"541","HadGEM2","tas","1","7","279.46","282.96","222.41","304.21"
"542","HadGEM2","tas","1","8","279.63","282.98","223.66","305.16"
"543","HadGEM2","tas","1","9","279.42","282.95","221.39","305.03"
"544","HadGEM2","tas","1","10","279.35","282.97","222.88","304.32"
"545","HadGEM2","tas","2","1","279.31","282.97","222.31","304.89"
"546","HadGEM2","tas","2","2","279.5","283.06","222.96","304.94"
"547","HadGEM2","tas","2","3","279.49","282.95","220.42","305.28"
"548","HadGEM2","tas","2","4","279.69","283.44","222.85","304.85"
"549","HadGEM2","tas","2","5","279.82","283.27","224.01","305.61"
"550","HadGEM2","tas","2","6","279.78","283.4","220.51","305.05"
"551","HadGEM2","tas","2","7","279.81","283.3","222.16","306.06"
"552","HadGEM2","tas","2","8","279.73","283.31","222.83","306.16"
"553","HadGEM2","tas","2","9","279.7","283.16","222.57","305.84"
"554","HadGEM2","tas","2","10","279.75","283.34","223.79","305.17"
"555","HadGEM2","tas","3","1","279.66","283.05","223.61","304.96"
"556","HadGEM2","tas","3","2","279.97","283.23","222.31","305.71"
"557","HadGEM2","tas","3","3","280.15","283.42","223.31","305.98"
"558","HadGEM2","tas","3","4","279.97","283.27","222.28","306.31"
"559","HadGEM2","tas","3","5","280.06","283.33","223.12","305.35"
"560","HadGEM2","tas","3","6","279.88","283.34","222.65","306.44"
"561","HadGEM2","tas","3","7","280.12","283.44","223.27","305.7"
"562","HadGEM2","tas","3","8","279.96","283.2","223.32","306.61"
"563","HadGEM2","tas","3","9","279.97","283.4","223.44","305.83"
"564","HadGEM2","tas","3","10","280.1","283.45","222.3","306.28"
"565","HadGEM2","tas","4","1","280.08","283.56","221.98","305.62"
"566","HadGEM2","tas","4","2","280.27","283.35","224.53","306.61"
"567","HadGEM2","tas","4","3","280.34","283.34","223.02","306.67"
"568","HadGEM2","tas","4","4","280.38","283.58","224.12","306.76"
"569","HadGEM2","tas","4","5","280.3","283.71","223.94","305.47"
"570","HadGEM2","tas","4","6","280.3","283.71","222.89","305.89"
"571","HadGEM2","tas","4","7","280.45","283.56","223.66","306.34"
"572","HadGEM2","tas","4","8","280.45","283.8","225.05","306.34"
"573","HadGEM2","tas","4","9","280.27","283.83","222.45","306.69"
"574","HadGEM2","tas","4","10","280.35","283.86","223.41","306.2"
"575","HadGEM2","tas","5","1","280.39","283.68","222.94","306.6"
"576","HadGEM2","tas","5","2","280.41","283.74","223.43","305.84"
"577","HadGEM2","tas","5","3","280.43","283.93","221.97","306.59"
"578","HadGEM2","tas","5","4","280.71","283.8","223.55","306.5"
"579","HadGEM2","tas","5","5","280.66","283.89","223.78","306.21"
"580","HadGEM2","tas","5","6","280.76","284.01","223.99","305.97"
"581","HadGEM2","tas","5","7","280.55","283.9","224.05","305.74"
"582","HadGEM2","tas","5","8","280.73","283.94","223.35","306.78"
"583","HadGEM2","tas","5","9","280.75","283.86","223.75","306.01"
"584","HadGEM2","tas","5","10","280.99","284.12","225.77","306.33"
"585","HadGEM2","tas","6","1","280.97","283.88","224.12","307.34"
"586","HadGEM2","tas","6","2","280.78","284.07","221.43","307.09"
"587","HadGEM2","tas","6","3","280.91","284.3","222.1","306.63"
"588","HadGEM2","tas","6","4","281.26","284.46","223.56","308.16"
"589","HadGEM2","tas","6","5","281.4","284.59","223.91","307.3"
"590","HadGEM2","tas","6","6","281.52","284.61","224.3","307.85"
"591","HadGEM2","tas","6","7","281.62","284.56","224.57","307.23"
"592","HadGEM2","tas","6","8","281.64","284.75","223.81","308.45"
"593","HadGEM2","tas","6","9","281.74","284.76","224.78","306.72"
"594","HadGEM2","tas","6","10","281.53","284.6","223.54","307.13"
"595","HadGEM2","tas","7","1","281.49","284.48","223.79","307.06"
"596","HadGEM2","tas","7","2","281.66","284.5","226.16","307.87"
"597","HadGEM2","tas","7","3","281.59","284.58","224.29","307.67"
"598","HadGEM2","tas","7","4","281.87","284.83","225.27","307.79"
"599","HadGEM2","tas","7","5","281.76","284.72","225.38","308.01"
"600","HadGEM2","tas","7","6","281.66","284.56","223.47","308.19"
"601","HadGEM2","tas","7","7","281.68","284.93","223.49","307.77"
"602","HadGEM2","tas","7","8","281.79","284.7","225.29","307.64"
"603","HadGEM2","tas","7","9","281.92","285.07","224.62","307.91"
"604","HadGEM2","tas","7","10","282.01","285.18","225.48","307.83"
"605","HadGEM2","tas","8","1","282.09","284.92","223.47","308.29"
"606","HadGEM2","tas","8","2","282.2","284.96","225.55","308.98"
"607","HadGEM2","tas","8","3","282.27","284.96","225.98","308.13"
"608","HadGEM2","tas","8","4","282.07","284.94","224.06","308.64"
"609","HadGEM2","tas","8","5","281.95","284.99","223.76","308.21"
"610","HadGEM2","tas","8","6","282.14","285.04","224.19","308.39"
"611","HadGEM2","tas","8","7","282.12","285.26","224.06","307.96"
"612","HadGEM2","tas","8","8","282.28","285.11","226.38","308.38"
"613","HadGEM2","tas","8","9","282.25","285.06","225.14","308.28"
"614","HadGEM2","tas","8","10","282.15","285.24","226.09","307.6"
"615","HadGEM2","tas","9","1","282.16","285.33","225.57","307.69"
"616","HadGEM2","tas","9","2","282.28","285.21","225.47","308.58"
"617","HadGEM2","tas","9","3","282.45","285.29","226.35","308.39"
"618","HadGEM2","tas","9","4","282.5","285.4","225.28","309.44"
"619","HadGEM2","tas","9","5","282.6","285.41","226.52","309.17"
"620","HadGEM2","tas","9","6","282.33","285.15","225.52","308.74"
"621","HadGEM2","tas","9","7","282.48","285.24","224.01","308.97"
"622","HadGEM2","tas","9","8","282.55","285.25","225.86","308.34"
"623","HadGEM2","tas","9","9","282.51","285.23","225.16","308.49"
"624","HadGEM2","WBGT","1","1","6.25","8.77","-29.48","28.86"
"625","HadGEM2","WBGT","1","2","6.29","8.76","-30.82","29.17"
"626","HadGEM2","WBGT","1","3","6.32","8.86","-30.28","29.17"
"627","HadGEM2","WBGT","1","4","6.31","8.86","-29.69","28.99"
"628","HadGEM2","WBGT","1","5","6.43","8.77","-28.62","29.09"
"629","HadGEM2","WBGT","1","6","6.47","8.61","-29.01","28.76"
"630","HadGEM2","WBGT","1","7","6.52","8.9","-28.99","28.67"
"631","HadGEM2","WBGT","1","8","6.67","8.92","-28.72","29.22"
"632","HadGEM2","WBGT","1","9","6.51","8.89","-29.79","29.09"
"633","HadGEM2","WBGT","1","10","6.41","8.87","-28.67","28.65"
"634","HadGEM2","WBGT","2","1","6.38","8.91","-29.79","29.15"
"635","HadGEM2","WBGT","2","2","6.58","8.92","-29.78","29.42"
"636","HadGEM2","WBGT","2","3","6.55","8.87","-30.27","29.2"
"637","HadGEM2","WBGT","2","4","6.78","9.28","-28.57","28.99"
"638","HadGEM2","WBGT","2","5","6.88","9.08","-29.01","29.02"
"639","HadGEM2","WBGT","2","6","6.86","9.25","-30.54","29.15"
"640","HadGEM2","WBGT","2","7","6.88","9.24","-29.12","29.98"
"641","HadGEM2","WBGT","2","8","6.78","9.16","-29.12","29.57"
"642","HadGEM2","WBGT","2","9","6.77","9.06","-29.24","29.34"
"643","HadGEM2","WBGT","2","10","6.81","9.25","-28.2","28.92"
"644","HadGEM2","WBGT","3","1","6.71","8.97","-28.25","29"
"645","HadGEM2","WBGT","3","2","7.06","9.19","-29.44","29.64"
"646","HadGEM2","WBGT","3","3","7.19","9.29","-28.07","29.46"
"647","HadGEM2","WBGT","3","4","7.03","9.15","-28.9","29.38"
"648","HadGEM2","WBGT","3","5","7.1","9.23","-28.41","29.32"
"649","HadGEM2","WBGT","3","6","6.94","9.22","-29.15","29.59"
"650","HadGEM2","WBGT","3","7","7.18","9.38","-29.32","29.14"
"651","HadGEM2","WBGT","3","8","7.01","9.14","-28.75","29.37"
"652","HadGEM2","WBGT","3","9","7","9.3","-28.11","29.37"
"653","HadGEM2","WBGT","3","10","7.15","9.37","-28.99","29.82"
"654","HadGEM2","WBGT","4","1","7.16","9.48","-29.21","29.4"
"655","HadGEM2","WBGT","4","2","7.29","9.27","-27.79","29.78"
"656","HadGEM2","WBGT","4","3","7.38","9.26","-28.23","29.99"
"657","HadGEM2","WBGT","4","4","7.42","9.45","-29.08","30.21"
"658","HadGEM2","WBGT","4","5","7.34","9.52","-28.2","29.44"
"659","HadGEM2","WBGT","4","6","7.31","9.56","-28.52","29.51"
"660","HadGEM2","WBGT","4","7","7.46","9.46","-28.01","30"
"661","HadGEM2","WBGT","4","8","7.45","9.67","-26.67","29.66"
"662","HadGEM2","WBGT","4","9","7.31","9.64","-28.83","29.56"
"663","HadGEM2","WBGT","4","10","7.37","9.67","-28.77","29.59"
"664","HadGEM2","WBGT","5","1","7.4","9.6","-28.36","29.86"
"665","HadGEM2","WBGT","5","2","7.46","9.62","-28.7","29.95"
"666","HadGEM2","WBGT","5","3","7.47","9.76","-30.34","30.16"
"667","HadGEM2","WBGT","5","4","7.7","9.68","-28.55","30.15"
"668","HadGEM2","WBGT","5","5","7.66","9.75","-28.09","29.86"
"669","HadGEM2","WBGT","5","6","7.76","9.82","-27.83","29.55"
"670","HadGEM2","WBGT","5","7","7.55","9.79","-27.77","29.67"
"671","HadGEM2","WBGT","5","8","7.75","9.77","-28.7","29.94"
"672","HadGEM2","WBGT","5","9","7.79","9.68","-27.61","29.74"
"673","HadGEM2","WBGT","5","10","7.98","9.98","-26.39","29.77"
"674","HadGEM2","WBGT","6","1","7.97","9.73","-29.1","30.24"
"675","HadGEM2","WBGT","6","2","7.82","9.91","-29.41","29.96"
"676","HadGEM2","WBGT","6","3","7.95","10.11","-29.09","30.06"
"677","HadGEM2","WBGT","6","4","8.24","10.27","-27.88","30.69"
"678","HadGEM2","WBGT","6","5","8.38","10.35","-28","30.51"
"679","HadGEM2","WBGT","6","6","8.49","10.39","-27.77","30.19"
"680","HadGEM2","WBGT","6","7","8.58","10.29","-26.75","30.31"
"681","HadGEM2","WBGT","6","8","8.62","10.47","-28.85","30.7"
"682","HadGEM2","WBGT","6","9","8.69","10.52","-26.51","30.51"
"683","HadGEM2","WBGT","6","10","8.5","10.36","-29.03","30.29"
"684","HadGEM2","WBGT","7","1","8.48","10.3","-28.66","30.56"
"685","HadGEM2","WBGT","7","2","8.6","10.33","-26.79","30.78"
"686","HadGEM2","WBGT","7","3","8.54","10.37","-27.76","30.65"
"687","HadGEM2","WBGT","7","4","8.81","10.56","-26.09","31.15"
"688","HadGEM2","WBGT","7","5","8.7","10.46","-26.93","30.49"
"689","HadGEM2","WBGT","7","6","8.62","10.33","-28.17","30.77"
"690","HadGEM2","WBGT","7","7","8.64","10.69","-28.3","30.89"
"691","HadGEM2","WBGT","7","8","8.75","10.45","-27.99","30.57"
"692","HadGEM2","WBGT","7","9","8.87","10.75","-26.65","30.71"
"693","HadGEM2","WBGT","7","10","8.94","10.92","-27.11","30.87"
"694","HadGEM2","WBGT","8","1","9.03","10.69","-28.16","31.16"
"695","HadGEM2","WBGT","8","2","9.11","10.73","-26.77","31.21"
"696","HadGEM2","WBGT","8","3","9.19","10.64","-26.41","31.04"
"697","HadGEM2","WBGT","8","4","9.01","10.68","-27.2","31.09"
"698","HadGEM2","WBGT","8","5","8.9","10.76","-27.49","30.97"
"699","HadGEM2","WBGT","8","6","9.07","10.76","-27.69","30.98"
"700","HadGEM2","WBGT","8","7","9.07","10.92","-27.57","30.99"
"701","HadGEM2","WBGT","8","8","9.2","10.84","-27.76","31.38"
"702","HadGEM2","WBGT","8","9","9.16","10.78","-27.25","31.39"
"703","HadGEM2","WBGT","8","10","9.08","10.93","-25.71","30.85"
"704","HadGEM2","WBGT","9","1","9.08","11.06","-26.62","30.91"
"705","HadGEM2","WBGT","9","2","9.21","10.95","-26.98","31.14"
"706","HadGEM2","WBGT","9","3","9.33","10.97","-27.31","31.39"
"707","HadGEM2","WBGT","9","4","9.38","11.13","-28.09","31.67"
"708","HadGEM2","WBGT","9","5","9.47","11.15","-25.19","31.55"
"709","HadGEM2","WBGT","9","6","9.23","10.96","-26.48","31.21"
"710","HadGEM2","WBGT","9","7","9.39","10.94","-27.36","31.35"
"711","HadGEM2","WBGT","9","8","9.44","11","-25.96","31.3"
"712","HadGEM2","WBGT","9","9","9.41","10.96","-27.11","31.27"
